text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,rise
rhipe and avepoint ink apac distie deal for microsoft focused migration and backup solutions https t co 6ojqnxjpfo ,0.0,0.0,positive,0.0,1.0,0.0,0.0,115,18,1
 microsoft https t co bocy6o12mg ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,33,5,0
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,0
ven a bien hasta que me acord de que github es un producto de microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,72,15,1
just earned my combine the power of schoology and microsoft teams on the microsoft educator center you can check o https t co tayzwme6vi ,-0.1,0.1,neutral,0.0,1.0,0.0,0.0,137,24,1
 kiwilesurvivant i like platinum games,0.0,0.0,positive,0.0,1.0,0.0,0.0,38,5,0
 the semillero the united states in world affairs will host a lecture by professor amanda hollis brusky hollisbrusky bio ,0.0,0.0,positive,0.0,1.0,0.0,0.0,121,19,1
 yet again this week i m finding microsoft docs invaluable and i m still amazed and surprised by the quality i m doing the a ,0.1,0.9,positive,0.0,1.0,0.0,0.0,125,25,1
azure iot edge https t co u9xjurlpla iot developer m0rdecai microsoft bro its not microsoft problem for palestine that on united nations or nato or whatever idk hey microsoft iam friends where can i find the latest version of this infographic it s out of date markwahl https t co vfztnrg7rk melinda gates poses with her kids but no bill in first twitter post since announcing divorce from microsoft billionaire ,0.375,0.6166666666666667,positive,0.0,1.0,0.0,0.0,411,70,1
htt ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,4,1,1
 if the microsoft apps had a teams meeting teacherappreciationweek microsoftedu sponsored https t co geg3misktm ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,112,15,1
upgrading to microsoft 365 office 365 bring a productivity speaker amp microsoft certified trainer to your next me https t co fo7wyx0ynv,0.0,0.0,neutral,0.0,1.0,0.0,0.0,136,22,1
i won the a long excursion achievement in microsoft wordament mobile for 327 points on trueachievements https t co tbwsiypguk ,-0.05,0.4,positive,0.0,1.0,0.0,0.0,126,20,1
 i think us microsoft users deserve a lil something for our troubles as well ,0.0,0.0,negative,0.0,1.0,0.0,0.0,77,14,1
 please join us for a chi2021 panel may 11 10 11am pt discussing research from microsoft during the pandemic and insights on ,0.0,0.0,positive,0.0,1.0,0.0,0.0,125,22,1
 we ve unblocked all identified users who were unable to send new messages,-0.1818181818181818,0.4772727272727273,neutral,0.0,1.0,0.0,0.0,74,13,1
new guide from bounteous on structured logging in microsoft s azure application insights including tips and project https t co 1ni1ew5enf ,0.1363636363636363,0.4545454545454545,neutral,0.0,1.0,0.0,0.0,138,21,1
 dimension9426 fablereboot alejandroid1979 joneblaze426 netflix is the top 5 companies in the world,0.5,0.5,positive,0.0,1.0,0.0,0.0,99,13,1
got invited to try the microsoft xcloud beta and gotta say it s bad,-0.6999999999999998,0.6666666666666666,negative,0.0,1.0,0.0,0.0,67,14,1
 europapress,0.0,0.0,neutral,0.0,1.0,0.0,0.0,12,1,1
 lots of posts about the new microsoft azure logo,0.1363636363636363,0.4545454545454545,neutral,0.0,1.0,0.0,0.0,49,9,1
 please join us for a chi2021 panel may 11 10 11am pt discussing research from microsoft during the pandemic and insights on ,0.0,0.0,positive,0.0,1.0,0.0,0.0,125,22,1
 microsoft seaford ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,19,2,1
 mymixtapez what about us the microsoft users we need a settlement too ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12,1
 mymixtapez what about us the microsoft users we need a settlement too ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,71,12,1
 melinda gates breaks twitter silence after announcing divorce with post on resilience https t co fkknnc1ego ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,109,16,1
 after the pycon us keynote,0.0,0.0,neutral,0.0,1.0,0.0,0.0,27,5,1
microsoft s windows 10x woes show why apple won t unify macos,0.0,0.0,positive,0.0,1.0,0.0,0.0,61,12,1
 gartner inc all steps2 contain c19 is stringnt now nasscom busi i e few emp on holiday mayb due2 c19 will b bk s https t co pykeparwnm ,-0.2,0.1,positive,0.0,1.0,0.0,0.0,136,28,1
 microsoft stop funding traitors https t co g12vgltrw0 ,0.0,0.0,negative,0.0,1.0,0.0,0.0,55,8,1
 monntolentino windowsinsider alumia italia windowsblog windowscentral microsofterses zacbowden something ver https t co yozza7ilcy ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,132,14,1
 c r 5 jncleary caramachete methodicalmemes you ponies are happy for what you do for sony we are happy for what https t co ooj8v9kaqe ,0.8,1.0,positive,0.0,1.0,0.0,0.0,134,25,1
 juddlegum mikeduhaime hey mikey we the believers in democracy will make sure it is more than a one day story https t co un1wc00y8b ,0.5,0.6944444444444444,positive,0.0,1.0,0.0,0.0,132,24,1
 ife adebayo,0.0,0.0,neutral,0.0,1.0,0.0,0.0,12,2,1
 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18,1
 cienciadedatos ingenieros,0.0,0.0,neutral,0.0,1.0,0.0,0.0,26,2,1
 fucking microsoft charged me for xbox gold even tho it was only supposed to be a one time payment last year so now i m down ,-0.1888888888888888,0.5388888888888889,negative,0.0,1.0,0.0,0.0,125,26,1
