0,1,2,3,4,5,6,7,8,9,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed,rise
Rhipe and AvePoint ink APAC distie deal: For Microsoft-focused migration and backup solutions.… https://t.co/6oJQNxjPFO;,,,,,,,,,,rhipe and avepoint ink apac distie deal for microsoft focused migration and backup solutions https t co 6ojqnxjpfo ,0.0,0.0,positive,,,,,115,18,rhipe and avepoint ink apac distie deal for microsoft focused migration and backup solutions https t co 6ojqnxjpfo ,"['rhipe', 'and', 'avepoint', 'ink', 'apac', 'distie', 'deal', 'for', 'microsoft', 'focused', 'migration', 'and', 'backup', 'solutions', 'https', 't', 'co', '6ojqnxjpfo', '']","['rhipe', 'avepoint', 'ink', 'apac', 'distie', 'deal', 'microsoft', 'focused', 'migration', 'backup', 'solutions', 'https', 'co', '6ojqnxjpfo', '']","['rhipe', 'avepoint', 'ink', 'apac', 'disti', 'deal', 'microsoft', 'focus', 'migrat', 'backup', 'solut', 'http', 'co', '6ojqnxjpfo', '']",1
@Microsoft https://t.co/BocY6O12Mg;,,,,,,,,,, microsoft https t co bocy6o12mg ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,33,5, microsoft https t co bocy6o12mg ,"['', 'microsoft', 'https', 't', 'co', 'bocy6o12mg', '']","['', 'microsoft', 'https', 'co', 'bocy6o12mg', '']","['', 'microsoft', 'http', 'co', 'bocy6o12mg', '']",0
"RT @JuddLegum: 2. The trove of information comes from @nabpac, the trade association for corporate PACs.
Board members include @Microsoft,…;",,,,,,,,,, 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,18, 2 the trove of information comes from nabpac the trade association for corporate pacs board members include microsoft ,"['', '2', 'the', 'trove', 'of', 'information', 'comes', 'from', 'nabpac', 'the', 'trade', 'association', 'for', 'corporate', 'pacs', 'board', 'members', 'include', 'microsoft', '']","['', '2', 'trove', 'information', 'comes', 'nabpac', 'trade', 'association', 'corporate', 'pacs', 'board', 'members', 'include', 'microsoft', '']","['', '2', 'trove', 'inform', 'come', 'nabpac', 'trade', 'associ', 'corpor', 'pac', 'board', 'member', 'includ', 'microsoft', '']",0
Venía bien hasta que me acordé de que GitHub es un producto de Microsoft.;,,,,,,,,,,ven a bien hasta que me acord de que github es un producto de microsoft ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,72,15,ven a bien hasta que me acord de que github es un producto de microsoft ,"['ven', 'a', 'bien', 'hasta', 'que', 'me', 'acord', 'de', 'que', 'github', 'es', 'un', 'producto', 'de', 'microsoft', '']","['ven', 'bien', 'hasta', 'que', 'acord', 'de', 'que', 'github', 'es', 'un', 'producto', 'de', 'microsoft', '']","['ven', 'bien', 'hasta', 'que', 'acord', 'de', 'que', 'github', 'es', 'un', 'producto', 'de', 'microsoft', '']",1
Just earned my Combine the power of Schoology and Microsoft Teams on the Microsoft Educator Center! You can check o… https://t.co/taYzwmE6vI;,,,,,,,,,,just earned my combine the power of schoology and microsoft teams on the microsoft educator center you can check o https t co tayzwme6vi ,-0.1,0.1,neutral,0.0,1.0,0.0,0.0,137,24,just earned my combine the power of schoology and microsoft teams on the microsoft educator center you can check o https t co tayzwme6vi ,"['just', 'earned', 'my', 'combine', 'the', 'power', 'of', 'schoology', 'and', 'microsoft', 'teams', 'on', 'the', 'microsoft', 'educator', 'center', 'you', 'can', 'check', 'o', 'https', 't', 'co', 'tayzwme6vi', '']","['earned', 'combine', 'power', 'schoology', 'microsoft', 'teams', 'microsoft', 'educator', 'center', 'check', 'https', 'co', 'tayzwme6vi', '']","['earn', 'combin', 'power', 'schoolog', 'microsoft', 'team', 'microsoft', 'educ', 'center', 'check', 'http', 'co', 'tayzwme6vi', '']",1
@KiwiLeSurvivant I like Platinum Games, that's apparently enough to aggro both factions of *DAMAGED* Joker mode tho… https://t.co/oyJgozMDFM;,,,,,,,,, kiwilesurvivant i like platinum games,0.0,0.0,positive,,,,,38,5, kiwilesurvivant i like platinum games,"['', 'kiwilesurvivant', 'i', 'like', 'platinum', 'games']","['', 'kiwilesurvivant', 'like', 'platinum', 'games']","['', 'kiwilesurviv', 'like', 'platinum', 'game']",0
RT @DorianKantor: The semillero The United States in World Affairs will host a lecture by Professor Amanda Hollis-Brusky @HollisBrusky (bio…;,,,,,,,,,, the semillero the united states in world affairs will host a lecture by professor amanda hollis brusky hollisbrusky bio ,0.0,0.0,positive,,,,,121,19, the semillero the united states in world affairs will host a lecture by professor amanda hollis brusky hollisbrusky bio ,"['', 'the', 'semillero', 'the', 'united', 'states', 'in', 'world', 'affairs', 'will', 'host', 'a', 'lecture', 'by', 'professor', 'amanda', 'hollis', 'brusky', 'hollisbrusky', 'bio', '']","['', 'semillero', 'united', 'states', 'world', 'affairs', 'host', 'lecture', 'professor', 'amanda', 'hollis', 'brusky', 'hollisbrusky', 'bio', '']","['', 'semillero', 'unit', 'state', 'world', 'affair', 'host', 'lectur', 'professor', 'amanda', 'holli', 'bruski', 'hollisbruski', 'bio', '']",1
RT @MikeAinOz: Yet again this week I'm finding Microsoft Docs invaluable and I'm still amazed and surprised by the quality. I'm doing the A…;,,,,,,,,,, yet again this week i m finding microsoft docs invaluable and i m still amazed and surprised by the quality i m doing the a ,0.1,0.9,positive,,,,,125,25, yet again this week i m finding microsoft docs invaluable and i m still amazed and surprised by the quality i m doing the a ,"['', 'yet', 'again', 'this', 'week', 'i', 'm', 'finding', 'microsoft', 'docs', 'invaluable', 'and', 'i', 'm', 'still', 'amazed', 'and', 'surprised', 'by', 'the', 'quality', 'i', 'm', 'doing', 'the', 'a', '']","['', 'yet', 'week', 'finding', 'microsoft', 'docs', 'invaluable', 'still', 'amazed', 'surprised', 'quality', '']","['', 'yet', 'week', 'find', 'microsoft', 'doc', 'invalu', 'still', 'amaz', 'surpris', 'qualiti', '']",1
"Azure IoT Edge、この一年で随分と機能が増えている。
https://t.co/U9XJURlPLA
IoT Developerに伝えることはまだまだ盛沢山！
@m0rdecai__ @Microsoft Bro its not Microsoft problem for Palestine that on United Nations or NATO or whatever idk
Hey Microsoft IAM friends. Where can I find the latest version of this infographic. It's out of date. @markwahl… https://t.co/VfzTNrG7RK
RT @MailOnline: Melinda Gates poses with her kids but no Bill in first Twitter post since announcing divorce from Microsoft billionaire;",,,,,,,,,,azure iot edge https t co u9xjurlpla iot developer m0rdecai microsoft bro its not microsoft problem for palestine that on united nations or nato or whatever idk hey microsoft iam friends where can i find the latest version of this infographic it s out of date markwahl https t co vfztnrg7rk melinda gates poses with her kids but no bill in first twitter post since announcing divorce from microsoft billionaire ,0.375,0.6166666666666667,positive,,,,,411,70,azure iot edge https t co uxjurlpla iot developer mrdecai microsoft bro its not microsoft problem for palestine that on united nations or nato or whatever idk hey microsoft iam friends where can i find the latest version of this infographic it s out of date markwahl https t co vfztnrg7rk melinda gates poses with her kids but no bill in first twitter post since announcing divorce from microsoft billionaire ,"['azure', 'iot', 'edge', 'https', 't', 'co', 'uxjurlpla', 'iot', 'developer', 'mrdecai', 'microsoft', 'bro', 'its', 'not', 'microsoft', 'problem', 'for', 'palestine', 'that', 'on', 'united', 'nations', 'or', 'nato', 'or', 'whatever', 'idk', 'hey', 'microsoft', 'iam', 'friends', 'where', 'can', 'i', 'find', 'the', 'latest', 'version', 'of', 'this', 'infographic', 'it', 's', 'out', 'of', 'date', 'markwahl', 'https', 't', 'co', 'vfztnrg7rk', 'melinda', 'gates', 'poses', 'with', 'her', 'kids', 'but', 'no', 'bill', 'in', 'first', 'twitter', 'post', 'since', 'announcing', 'divorce', 'from', 'microsoft', 'billionaire', '']","['azure', 'iot', 'edge', 'https', 'co', 'uxjurlpla', 'iot', 'developer', 'mrdecai', 'microsoft', 'bro', 'microsoft', 'problem', 'palestine', 'united', 'nations', 'nato', 'whatever', 'idk', 'hey', 'microsoft', 'iam', 'friends', 'find', 'latest', 'version', 'infographic', 'date', 'markwahl', 'https', 'co', 'vfztnrg7rk', 'melinda', 'gates', 'poses', 'kids', 'bill', 'first', 'twitter', 'post', 'since', 'announcing', 'divorce', 'microsoft', 'billionaire', '']","['azur', 'iot', 'edg', 'http', 'co', 'uxjurlpla', 'iot', 'develop', 'mrdecai', 'microsoft', 'bro', 'microsoft', 'problem', 'palestin', 'unit', 'nation', 'nato', 'whatev', 'idk', 'hey', 'microsoft', 'iam', 'friend', 'find', 'latest', 'version', 'infograph', 'date', 'markwahl', 'http', 'co', 'vfztnrg7rk', 'melinda', 'gate', 'pose', 'kid', 'bill', 'first', 'twitter', 'post', 'sinc', 'announc', 'divorc', 'microsoft', 'billionair', '']",1
"htt…"";",,,,,,,,,,htt ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,4,1,htt ,"['htt', '']","['htt', '']","['htt', '']",1
